Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Company Name,Industry,Sector,CEO,Headquarters,Website,Current Price,Open Price,Market Cap,P/E Ratio,EPS,Dividend Yield,52-Week High,52-Week Low
2000-01-03 00:00:00+05:30,0.48212940859773895,313.7,306.15,0.5015663504600525,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-04 00:00:00+05:30,0.5353422834709665,313.7,306.15,0.5416814088821411,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-05 00:00:00+05:30,0.5416813812440541,313.7,306.15,0.5351547598838806,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-06 00:00:00+05:30,0.5515918102004156,313.7,306.15,0.5214141011238098,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-07 00:00:00+05:30,0.5105215467384558,313.7,306.15,0.4797099232673645,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-10 00:00:00+05:30,0.49802171998603967,313.7,306.15,0.4764151871204376,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-11 00:00:00+05:30,0.4797098843026986,313.7,306.15,0.44818395376205444,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-12 00:00:00+05:30,0.4413359374917812,313.7,306.15,0.4589158296585083,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-13 00:00:00+05:30,0.46248719342592626,313.7,306.15,0.44096991419792175,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-14 00:00:00+05:30,0.44284477829933167,313.7,306.15,0.44284477829933167,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-17 00:00:00+05:30,0.4629157157621381,313.7,306.15,0.4782635271549225,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-18 00:00:00+05:30,0.48837940452781126,313.7,306.15,0.4910579025745392,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-19 00:00:00+05:30,0.49212910309702257,313.7,306.15,0.4955218732357025,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-20 00:00:00+05:30,0.4996288788585537,313.7,306.15,0.49918246269226074,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-21 00:00:00+05:30,0.49998615390345075,313.7,306.15,0.5391100645065308,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-24 00:00:00+05:30,0.5714126037778149,313.7,306.15,0.582233726978302,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-25 00:00:00+05:30,0.5963227533009823,313.7,306.15,0.6288039684295654,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2000-01-27 00:00:00+05:30,0.6739100795673947,313.7,306.15,0.6791063547134399,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
